name,latitude,longitude,chain
Arabica Coffee House Nev Çarşı,41.0205612,29.0195989,1
Arabicano Coffee,41.0716563,29.0606866,2
Big Chefs - Capitol AVMŞubesi,41.0208292,29.0398489,3
Big Chefs - Palladium AVMŞubesi,40.98769009999990,29.1005848,3
Big Chefs -İstanbul Watergarden AVMŞubesi,40.99795719999990,29.0997386,3
Big Chefs -Şerifali QuattroŞubesi,41.0019646,29.1404516,3
BigChefs,40.9943106,29.1240121,3
BigChefs Emaar Square Mall,41.0037283,29.0708797,3
Caffe Nero,40.9879121,29.1038508,4
Caffe Nero,41.0029391,29.0714068,4
Caffe Nero,41.02508599999990,29.129205,4
Caffe Nero,41.0023337,29.0694192,4
Caffe Nero,40.9950109,28.9308481,4
Caffe Nero,41.0318426,29.0384789,4
Caffe Nero,41.0315039,29.1119086,4
Caffe Nero,40.9902395,29.14302769999990,4
Caffe Nero,40.9928031,29.1251136,4
Caffe Nero,41.0206906,29.0390583,4
Caribou Coffee,41.0013454,29.05536069999990,5
Caribou Coffee,41.0231674,29.070722,5
Caribou Coffee,41.0239809,29.1262726,5
Caribou Coffee And Plaza,40.9729663,29.1015804,5
Caribou Coffee Head Office,40.9765276,29.103101,5
CARİBOU COFFEE METROGARDEN AVM,41.0156444,29.1788929,5
Coffee Truck,41.012649,29.1938358,6
Coffee World - Optimum Istanbul,40.988459,29.085866,7
Coffeemania Next | Metrogarden,41.0159821,29.1789072,8
Espresso Lab,41.0258098,29.09131929999990,9
Espressolab Acıbadem,41.01019429999990,29.0518319,9
Espressolab Ataşehir Golfclub,40.990355,29.1430749,9
Espressolab Çengelköy,41.0510485,29.0517502,9
Espressolab Nato Yolu,41.0485587,29.0767062,9
Espressolab Nev Çarşı Üsküdar,41.0203764,29.0220403,9
Espressolab Ümraniye Alemdağ,41.025377,29.0918476,9
Espressolab Üsküdar Gastronomi,41.0241237,29.0146489,9
Espressolab Üsküdarİcadiye,41.0251533,29.0357435,9
Espressolab Watergarden AVM,40.9980684,29.09976619999990,9
EspressolabŞerifali,41.00500479999990,29.13210979999990,9
Gloria Jeans,41.0038537,29.071135,10
Gloria Jeans,41.0489773,29.0767434,10
Gloria Jeans,40.9853548,29.0996322,10
Gloria Jeans Coffees,40.9985142,29.0987317,10
Gloria Jeans Coffees,41.021017,29.0395631,10
Gloria Jeans Coffees Emaar,41.0038536,29.071135,10
Gloria Jeans Coffees Idealist Park,41.0147738,29.18106269999990,10
Gloria Jeans Coffees Ümraniye,41.02572809999990,29.0949868,10
Kahve Dünyası,40.992144,29.1267202,11
Kahve Dünyası,40.993867,29.1213974,11
Kahve Dünyası,40.9984656,29.0993519,11
Kahve Dünyası - Acıbadem,41.008827,29.0507417,11
Kahve Dünyası - Akasya Acıbadem AVM,41.0006691,29.0545749,11
Kahve Dünyası - Ataşehir WaterGarden,40.9964156,29.099616,11
Kahve Dünyası - Buyaka AVM,41.0262411,29.1269522,11
Kahve Dünyası - Canpark AVM,41.0246486,29.1069997,11
Kahve Dünyası - Emaar Square AVM,41.0031865,29.0713939,11
Kahve Dünyası - Meydan AVM,41.0240711,29.1260183,11
Kahve Dünyası - Nevçarşı AVM,41.0203043,29.0206676,11
Kahve Dünyası - Palladium Ataşehir,40.9857579,29.1001949,11
Kahve Dünyası Algötür - Capitol AVM,41.0209117,29.0385183,11
Kronotrop,40.9941176,29.1241709,12
Kronotrop Emaar Square,41.0029816,29.071531,12
Lavazza,40.9910575,29.1057367,13
Lavazza,41.0305891,29.1065237,13
Lavazza Best Coffee Shop,40.9816619,29.1026259,13
Lavazza Çengelköy,41.0490328,29.0767466,13
lavazza huawei,41.0284913,29.1173314,13
MOC MEYDANİSTANBUL,41.0245179,29.1268497,14
MOC Üsküdar,41.0246022,29.012656,14
Roberts Coffee,40.8984528,29.1706808,15
Roberts Coffee,41.01012009999990,29.1362941,15
Roberts Coffee,40.988037,29.085871,15
Roberts Coffee,41.0235118,29.0079307,15
Roberts Coffee,41.006818,29.1581351,15
Roberts Coffee Ataşehir,40.9937844,29.119114,15
Roberts Coffee Genel Müdürlük,40.9917215,29.115563,15
Starbucks,40.978447,29.1102595,16
Starbucks,40.9861728,29.118839,16
Starbucks,40.9788457,29.1009734,16
Starbucks,40.978361,29.117034,16
Starbucks,40.9902495,29.14088259999990,16
Starbucks,40.985828,29.099743,16
Starbucks,40.9778774,29.1385585,16
Starbucks,40.98426,29.107074,16
Starbucks,40.9926422,29.12507,16
Starbucks,40.9882848,29.08605619999990,16
Starbucks,40.9986122,29.0999007,16
Starbucks,40.9911332,29.1361014,16
Starbucks,40.9944684,29.1104048,16
Starbucks,40.99157340000000,29.1045752,16
Starbucks,40.9933395,29.1198306,16
Starbucks,40.9973664,29.13988389999990,16
Starbucks,40.981855,29.132274,16
Starbucks,41.0087931,29.1352394,16
Starbucks,41.0234473,29.11359049999990,16
Starbucks,41.0023337,29.0694192,16
Starbucks,41.0051916,29.068808,16
Starbucks,41.0263272,29.1286767,16
Starbucks,41.0012055,29.0557135,16
Starbucks,41.0033156,29.0712873,16
Starbucks,41.0103835,29.0519994,16
Starbucks,41.0250387,29.1066022,16
Starbucks,41.0155583,29.1784933,16
Starbucks,41.0415458,29.0774993,16
Starbucks,41.02006799999990,29.020249,16
Starbucks,41.0233186,29.1156578,16
Starbucks,40.9069984,29.1605996,16
Starbucks,41.030444,29.1105806,16
Starbucks,41.03188550000000,29.109577,16
Starbucks,41.0112951,29.1796697,16
Starbucks,41.0239081,29.0419114,16
Starbucks,41.0236672,29.0175782,16
Tchibo,40.990381,29.110038,17
Tchibo,40.9791664,29.100042,17
Tchibo,41.0210455,29.03974329999990,17
Tchibo Buyaka AVM,41.0265239,29.1283262,17
Tchibo Canpark AVM,41.0246976,29.1061612,17
Tchibo Coffee To Go,40.9833261,29.11383,17
Tchibo Coffee To Go,41.0184401,29.0846323,17
Tchibo Coffee To Go,41.01898569999990,29.0822844,17
Tchibo Coffee To Go,41.00686049999990,29.0249977,17
Tchibo Kahve Mamulleri,40.9895664,29.1057198,17
Tchibo My Office,40.9907262,29.1013003,17
Tchibo Palladium AVM,40.9858227,29.1001493,17
The House Cafe Emaar,41.0036494,29.0714665,18
Coffy,40.9958882,29.0695808,19
Coffy,40.9818723,29.057608,19
Coffy Kadikoy,40.99004679999990,29.0244025,19
Coffy Kazasker,40.972587,29.08328029999990,19
Coffy Ümraniye Madenler,41.0145004,29.1807999,19
Coffy Ümraniye Merkez,41.0260723,29.0921165,19
Halitağa Coffy,40.9912169,29.0281947,19
İstanbul Bahariye Coffy,40.9876109,29.0258145,19
İstanbul Caddebostan Coffy,40.9666881,29.06820609999990,19
Kadıköy Boğa Coffy,40.990141,29.0289,19
Kadıköy Moda Coffy,40.9844771,29.0268373,19
Üsküdar Coffy,41.0250764,29.0191241,19